area_type_code,area_code,area_text,state,display_level,selectable,sort_sequence
F,CN0100100000000,Autauga County,AL,0,T,27
F,CN0100300000000,Baldwin County,AL,0,T,28
F,CN0100500000000,Barbour County,AL,0,T,29
F,CN0100700000000,Bibb County,AL,0,T,30
F,CN0100900000000,Blount County,AL,0,T,31
F,CN0101100000000,Bullock County,AL,0,T,32
F,CN0101300000000,Butler County,AL,0,T,33
F,CN0101500000000,Calhoun County,AL,0,T,34
F,CN0101700000000,Chambers County,AL,0,T,35
F,CN0101900000000,Cherokee County,AL,0,T,36
F,CN0102100000000,Chilton County,AL,0,T,37
F,CN0102300000000,Choctaw County,AL,0,T,38
F,CN0102500000000,Clarke County,AL,0,T,39
F,CN0102700000000,Clay County,AL,0,T,40
F,CN0102900000000,Cleburne County,AL,0,T,41
F,CN0103100000000,Coffee County,AL,0,T,42
F,CN0103300000000,Colbert County,AL,0,T,43
F,CN0103500000000,Conecuh County,AL,0,T,44
F,CN0103700000000,Coosa County,AL,0,T,45
F,CN0103900000000,Covington County,AL,0,T,46
F,CN0104100000000,Crenshaw County,AL,0,T,47
F,CN0104300000000,Cullman County,AL,0,T,48
F,CN0104500000000,Dale County,AL,0,T,49
F,CN0104700000000,Dallas County,AL,0,T,50
F,CN0104900000000,DeKalb County,AL,0,T,51
F,CN0105100000000,Elmore County,AL,0,T,52
F,CN0105300000000,Escambia County,AL,0,T,53
F,CN0105500000000,Etowah County,AL,0,T,54
F,CN0105700000000,Fayette County,AL,0,T,55
F,CN0105900000000,Franklin County,AL,0,T,56
F,CN0106100000000,Geneva County,AL,0,T,57
F,CN0106300000000,Greene County,AL,0,T,58
F,CN0106500000000,Hale County,AL,0,T,59
F,CN0106700000000,Henry County,AL,0,T,60
F,CN0106900000000,Houston County,AL,0,T,61
F,CN0107100000000,Jackson County,AL,0,T,62
F,CN0107300000000,Jefferson County,AL,0,T,63
F,CN0107500000000,Lamar County,AL,0,T,64
F,CN0107700000000,Lauderdale County,AL,0,T,65
F,CN0107900000000,Lawrence County,AL,0,T,66
F,CN0108100000000,Lee County,AL,0,T,67
F,CN0108300000000,Limestone County,AL,0,T,68
F,CN0108500000000,Lowndes County,AL,0,T,69
F,CN0108700000000,Macon County,AL,0,T,70
F,CN0108900000000,Madison County,AL,0,T,71
F,CN0109100000000,Marengo County,AL,0,T,72
F,CN0109300000000,Marion County,AL,0,T,73
F,CN0109500000000,Marshall County,AL,0,T,74
F,CN0109700000000,Mobile County,AL,0,T,75
F,CN0109900000000,Monroe County,AL,0,T,76
F,CN0110100000000,Montgomery County,AL,0,T,77
F,CN0110300000000,Morgan County,AL,0,T,78
F,CN0110500000000,Perry County,AL,0,T,79
F,CN0110700000000,Pickens County,AL,0,T,80
F,CN0110900000000,Pike County,AL,0,T,81
F,CN0111100000000,Randolph County,AL,0,T,82
F,CN0111300000000,Russell County,AL,0,T,83
F,CN0111500000000,St. Clair County,AL,0,T,84
F,CN0111700000000,Shelby County,AL,0,T,85
F,CN0111900000000,Sumter County,AL,0,T,86
F,CN0112100000000,Talladega County,AL,0,T,87
F,CN0112300000000,Tallapoosa County,AL,0,T,88
F,CN0112500000000,Tuscaloosa County,AL,0,T,89
F,CN0112700000000,Walker County,AL,0,T,90
F,CN0112900000000,Washington County,AL,0,T,91
