area_type_code,area_code,area_text,state
F,CN0100100000000,Autauga County,AL
F,CN0100300000000,Baldwin County,AL
F,CN0100500000000,Barbour County,AL
F,CN0100700000000,Bibb County,AL
F,CN0100900000000,Blount County,AL
F,CN0101100000000,Bullock County,AL
F,CN0101300000000,Butler County,AL
F,CN0101500000000,Calhoun County,AL
F,CN0101700000000,Chambers County,AL
F,CN0101900000000,Cherokee County,AL
F,CN0102100000000,Chilton County,AL
F,CN0102300000000,Choctaw County,AL
F,CN0102500000000,Clarke County,AL
F,CN0102700000000,Clay County,AL
F,CN0102900000000,Cleburne County,AL
F,CN0103100000000,Coffee County,AL
F,CN0103300000000,Colbert County,AL
F,CN0103500000000,Conecuh County,AL
F,CN0103700000000,Coosa County,AL
F,CN0103900000000,Covington County,AL
F,CN0104100000000,Crenshaw County,AL
F,CN0104300000000,Cullman County,AL
F,CN0104500000000,Dale County,AL
F,CN0104700000000,Dallas County,AL
F,CN0104900000000,DeKalb County,AL
F,CN0105100000000,Elmore County,AL
F,CN0105300000000,Escambia County,AL
F,CN0105500000000,Etowah County,AL
F,CN0105700000000,Fayette County,AL
F,CN0105900000000,Franklin County,AL
F,CN0106100000000,Geneva County,AL
F,CN0106300000000,Greene County,AL
F,CN0106500000000,Hale County,AL
F,CN0106700000000,Henry County,AL
F,CN0106900000000,Houston County,AL
F,CN0107100000000,Jackson County,AL
F,CN0107300000000,Jefferson County,AL
F,CN0107500000000,Lamar County,AL
F,CN0107700000000,Lauderdale County,AL
F,CN0107900000000,Lawrence County,AL
F,CN0108100000000,Lee County,AL
F,CN0108300000000,Limestone County,AL
F,CN0108500000000,Lowndes County,AL
F,CN0108700000000,Macon County,AL
F,CN0108900000000,Madison County,AL
F,CN0109100000000,Marengo County,AL
F,CN0109300000000,Marion County,AL
F,CN0109500000000,Marshall County,AL
F,CN0109700000000,Mobile County,AL
F,CN0109900000000,Monroe County,AL
F,CN0110100000000,Montgomery County,AL
F,CN0110300000000,Morgan County,AL
F,CN0110500000000,Perry County,AL
F,CN0110700000000,Pickens County,AL
F,CN0110900000000,Pike County,AL
F,CN0111100000000,Randolph County,AL
F,CN0111300000000,Russell County,AL
F,CN0111500000000,St. Clair County,AL
F,CN0111700000000,Shelby County,AL
F,CN0111900000000,Sumter County,AL
F,CN0112100000000,Talladega County,AL
F,CN0112300000000,Tallapoosa County,AL
F,CN0112500000000,Tuscaloosa County,AL
F,CN0112700000000,Walker County,AL
F,CN0112900000000,Washington County,AL
F,CN0113100000000,Wilcox County,AL
F,CN0113300000000,Winston County,AL
F,CN0201300000000,Aleutians East Borough,AK
F,CN0201600000000,Aleutians West Census Area,AK
F,CN0202000000000,Anchorage Borough/municipality,AK
F,CN0205000000000,Bethel Census Area,AK
F,CN0206000000000,Bristol Bay Borough,AK
F,CN0206800000000,Denali Borough,AK
F,CN0207000000000,Dillingham Census Area,AK
F,CN0209000000000,Fairbanks North Star Borough,AK
F,CN0210000000000,Haines Borough,AK
F,CN0210500000000,Hoonah-Angoon Census Area,AK
F,CN0211000000000,Juneau Borough/city,AK
F,CN0212200000000,Kenai Peninsula Borough,AK
F,CN0213000000000,Ketchikan Gateway Borough,AK
F,CN0215000000000,Kodiak Island Borough,AK
F,CN0216400000000,Lake and Peninsula Borough,AK
F,CN0217000000000,Matanuska-Susitna Borough,AK
F,CN0218000000000,Nome Census Area,AK
F,CN0218500000000,North Slope Borough,AK
F,CN0218800000000,Northwest Arctic Borough,AK
F,CN0219500000000,Petersburg Census Area,AK
F,CN0219800000000,Prince of Wales-Hyder Census Area,AK
F,CN0220100000000,Prince of Wales-Outer Ketchikan Census Area,AK
F,CN0222000000000,Sitka Borough/city,AK
F,CN0223000000000,Skagway Municipality,AK
F,CN0223200000000,Skagway-Hoonah-Angoon Census Area,AK
F,CN0224000000000,Southeast Fairbanks Census Area,AK
F,CN0226100000000,Valdez-Cordova Census Area,AK
F,CN0227000000000,Wade Hampton Census Area,AK
F,CN0227500000000,Wrangell Borough/city,AK
F,CN0228000000000,Wrangell-Petersburg Census Area,AK
F,CN0228200000000,Yakutat Borough/city,AK
F,CN0229000000000,Yukon-Koyukuk Census Area,AK
F,CN0400100000000,Apache County,AZ
F,CN0400300000000,Cochise County,AZ
F,CN0400500000000,Coconino County,AZ
F,CN0400700000000,Gila County,AZ
F,CN0400900000000,Graham County,AZ
F,CN0401100000000,Greenlee County,AZ
F,CN0401200000000,La Paz County,AZ
F,CN0401300000000,Maricopa County,AZ
F,CN0401500000000,Mohave County,AZ
F,CN0401700000000,Navajo County,AZ
F,CN0401900000000,Pima County,AZ
F,CN0402100000000,Pinal County,AZ
F,CN0402300000000,Santa Cruz County,AZ
F,CN0402500000000,Yavapai County,AZ
F,CN0402700000000,Yuma County,AZ
F,CN0500100000000,Arkansas County,AR
F,CN0500300000000,Ashley County,AR
F,CN0500500000000,Baxter County,AR
F,CN0500700000000,Benton County,AR
F,CN0500900000000,Boone County,AR
F,CN0501100000000,Bradley County,AR
F,CN0501300000000,Calhoun County,AR
F,CN0501500000000,Carroll County,AR
F,CN0501700000000,Chicot County,AR
F,CN0501900000000,Clark County,AR
F,CN0502100000000,Clay County,AR
F,CN0502300000000,Cleburne County,AR
F,CN0502500000000,Cleveland County,AR
F,CN0502700000000,Columbia County,AR
F,CN0502900000000,Conway County,AR
F,CN0503100000000,Craighead County,AR
F,CN0503300000000,Crawford County,AR
F,CN0503500000000,Crittenden County,AR
F,CN0503700000000,Cross County,AR
F,CN0503900000000,Dallas County,AR
F,CN0504100000000,Desha County,AR
F,CN0504300000000,Drew County,AR
F,CN0504500000000,Faulkner County,AR
F,CN0504700000000,Franklin County,AR
F,CN0504900000000,Fulton County,AR
F,CN0505100000000,Garland County,AR
F,CN0505300000000,Grant County,AR
F,CN0505500000000,Greene County,AR
F,CN0505700000000,Hempstead County,AR
F,CN0505900000000,Hot Spring County,AR
F,CN0506100000000,Howard County,AR
F,CN0506300000000,Independence County,AR
F,CN0506500000000,Izard County,AR
F,CN0506700000000,Jackson County,AR
F,CN0506900000000,Jefferson County,AR
F,CN0507100000000,Johnson County,AR
F,CN0507300000000,Lafayette County,AR
F,CN0507500000000,Lawrence County,AR
F,CN0507700000000,Lee County,AR
F,CN0507900000000,Lincoln County,AR
F,CN0508100000000,Little River County,AR
F,CN0508300000000,Logan County,AR
F,CN0508500000000,Lonoke County,AR
F,CN0508700000000,Madison County,AR
F,CN0508900000000,Marion County,AR
F,CN0509100000000,Miller County,AR
F,CN0509300000000,Mississippi County,AR
F,CN0509500000000,Monroe County,AR
F,CN0509700000000,Montgomery County,AR
F,CN0509900000000,Nevada County,AR
F,CN0510100000000,Newton County,AR
F,CN0510300000000,Ouachita County,AR
F,CN0510500000000,Perry County,AR
F,CN0510700000000,Phillips County,AR
F,CN0510900000000,Pike County,AR
F,CN0511100000000,Poinsett County,AR
F,CN0511300000000,Polk County,AR
F,CN0511500000000,Pope County,AR
F,CN0511700000000,Prairie County,AR
F,CN0511900000000,Pulaski County,AR
F,CN0512100000000,Randolph County,AR
F,CN0512300000000,St. Francis County,AR
F,CN0512500000000,Saline County,AR
F,CN0512700000000,Scott County,AR
F,CN0512900000000,Searcy County,AR
F,CN0513100000000,Sebastian County,AR
F,CN0513300000000,Sevier County,AR
F,CN0513500000000,Sharp County,AR
F,CN0513700000000,Stone County,AR
F,CN0513900000000,Union County,AR
F,CN0514100000000,Van Buren County,AR
F,CN0514300000000,Washington County,AR
F,CN0514500000000,White County,AR
F,CN0514700000000,Woodruff County,AR
F,CN0514900000000,Yell County,AR
F,CN0600100000000,Alameda County,CA
F,CN0600300000000,Alpine County,CA
F,CN0600500000000,Amador County,CA
F,CN0600700000000,Butte County,CA
F,CN0600900000000,Calaveras County,CA
F,CN0601100000000,Colusa County,CA
F,CN0601300000000,Contra Costa County,CA
F,CN0601500000000,Del Norte County,CA
F,CN0601700000000,El Dorado County,CA
F,CN0601900000000,Fresno County,CA
F,CN0602100000000,Glenn County,CA
F,CN0602300000000,Humboldt County,CA
F,CN0602500000000,Imperial County,CA
F,CN0602700000000,Inyo County,CA
F,CN0602900000000,Kern County,CA
F,CN0603100000000,Kings County,CA
F,CN0603300000000,Lake County,CA
F,CN0603500000000,Lassen County,CA
F,CN0603700000000,Los Angeles County,CA
F,CN0603900000000,Madera County,CA
F,CN0604100000000,Marin County,CA
F,CN0604300000000,Mariposa County,CA
F,CN0604500000000,Mendocino County,CA
F,CN0604700000000,Merced County,CA
F,CN0604900000000,Modoc County,CA
F,CN0605100000000,Mono County,CA
F,CN0605300000000,Monterey County,CA
F,CN0605500000000,Napa County,CA
F,CN0605700000000,Nevada County,CA
F,CN0605900000000,Orange County,CA
F,CN0606100000000,Placer County,CA
F,CN0606300000000,Plumas County,CA
F,CN0606500000000,Riverside County,CA
F,CN0606700000000,Sacramento County,CA
F,CN0606900000000,San Benito County,CA
F,CN0607100000000,San Bernardino County,CA
F,CN0607300000000,San Diego County,CA
F,CN0607500000000,San Francisco County/city,CA
F,CN0607700000000,San Joaquin County,CA
F,CN0607900000000,San Luis Obispo County,CA
F,CN0608100000000,San Mateo County,CA
F,CN0608300000000,Santa Barbara County,CA
F,CN0608500000000,Santa Clara County,CA
F,CN0608700000000,Santa Cruz County,CA
F,CN0608900000000,Shasta County,CA
F,CN0609100000000,Sierra County,CA
F,CN0609300000000,Siskiyou County,CA
F,CN0609500000000,Solano County,CA
F,CN0609700000000,Sonoma County,CA
F,CN0609900000000,Stanislaus County,CA
F,CN0610100000000,Sutter County,CA
F,CN0610300000000,Tehama County,CA
F,CN0610500000000,Trinity County,CA
F,CN0610700000000,Tulare County,CA
F,CN0610900000000,Tuolumne County,CA
F,CN0611100000000,Ventura County,CA
F,CN0611300000000,Yolo County,CA
F,CN0611500000000,Yuba County,CA
F,CN0800100000000,Adams County,CO
F,CN0800300000000,Alamosa County,CO
F,CN0800500000000,Arapahoe County,CO
F,CN0800700000000,Archuleta County,CO
F,CN0800900000000,Baca County,CO
F,CN0801100000000,Bent County,CO
F,CN0801300000000,Boulder County,CO
F,CN0801400000000,Broomfield County/city,CO
F,CN0801500000000,Chaffee County,CO
F,CN0801700000000,Cheyenne County,CO
F,CN0801900000000,Clear Creek County,CO
F,CN0802100000000,Conejos County,CO
F,CN0802300000000,Costilla County,CO
F,CN0802500000000,Crowley County,CO
F,CN0802700000000,Custer County,CO
F,CN0802900000000,Delta County,CO
F,CN0803100000000,Denver County/city,CO
F,CN0803300000000,Dolores County,CO
F,CN0803500000000,Douglas County,CO
F,CN0803700000000,Eagle County,CO
F,CN0803900000000,Elbert County,CO
F,CN0804100000000,El Paso County,CO
F,CN0804300000000,Fremont County,CO
F,CN0804500000000,Garfield County,CO
F,CN0804700000000,Gilpin County,CO
F,CN0804900000000,Grand County,CO
F,CN0805100000000,Gunnison County,CO
F,CN0805300000000,Hinsdale County,CO
F,CN0805500000000,Huerfano County,CO
F,CN0805700000000,Jackson County,CO
F,CN0805900000000,Jefferson County,CO
F,CN0806100000000,Kiowa County,CO
F,CN0806300000000,Kit Carson County,CO
F,CN0806500000000,Lake County,CO
F,CN0806700000000,La Plata County,CO
F,CN0806900000000,Larimer County,CO
F,CN0807100000000,Las Animas County,CO
F,CN0807300000000,Lincoln County,CO
F,CN0807500000000,Logan County,CO
F,CN0807700000000,Mesa County,CO
F,CN0807900000000,Mineral County,CO
F,CN0808100000000,Moffat County,CO
F,CN0808300000000,Montezuma County,CO
F,CN0808500000000,Montrose County,CO
F,CN0808700000000,Morgan County,CO
F,CN0808900000000,Otero County,CO
F,CN0809100000000,Ouray County,CO
F,CN0809300000000,Park County,CO
F,CN0809500000000,Phillips County,CO
F,CN0809700000000,Pitkin County,CO
F,CN0809900000000,Prowers County,CO
F,CN0810100000000,Pueblo County,CO
F,CN0810300000000,Rio Blanco County,CO
F,CN0810500000000,Rio Grande County,CO
F,CN0810700000000,Routt County,CO
F,CN0810900000000,Saguache County,CO
F,CN0811100000000,San Juan County,CO
F,CN0811300000000,San Miguel County,CO
F,CN0811500000000,Sedgwick County,CO
F,CN0811700000000,Summit County,CO
F,CN0811900000000,Teller County,CO
F,CN0812100000000,Washington County,CO
F,CN0812300000000,Weld County,CO
F,CN0812500000000,Yuma County,CO
F,CN0900100000000,Fairfield County,CT
F,CN0900300000000,Hartford County,CT
F,CN0900500000000,Litchfield County,CT
F,CN0900700000000,Middlesex County,CT
F,CN0900900000000,New Haven County,CT
F,CN0901100000000,New London County,CT
F,CN0901300000000,Tolland County,CT
F,CN0901500000000,Windham County,CT
F,CN1000100000000,Kent County,DE
F,CN1000300000000,New Castle County,DE
F,CN1000500000000,Sussex County,DE
F,CN1100100000000,District of Columbia,DC
F,CN1200100000000,Alachua County,FL
F,CN1200300000000,Baker County,FL
F,CN1200500000000,Bay County,FL
F,CN1200700000000,Bradford County,FL
F,CN1200900000000,Brevard County,FL
F,CN1201100000000,Broward County,FL
F,CN1201300000000,Calhoun County,FL
F,CN1201500000000,Charlotte County,FL
F,CN1201700000000,Citrus County,FL
F,CN1201900000000,Clay County,FL
F,CN1202100000000,Collier County,FL
F,CN1202300000000,Columbia County,FL
F,CN1202700000000,DeSoto County,FL
F,CN1202900000000,Dixie County,FL
F,CN1203100000000,Duval County,FL
F,CN1203300000000,Escambia County,FL
F,CN1203500000000,Flagler County,FL
F,CN1203700000000,Franklin County,FL
F,CN1203900000000,Gadsden County,FL
F,CN1204100000000,Gilchrist County,FL
F,CN1204300000000,Glades County,FL
F,CN1204500000000,Gulf County,FL
F,CN1204700000000,Hamilton County,FL
F,CN1204900000000,Hardee County,FL
F,CN1205100000000,Hendry County,FL
F,CN1205300000000,Hernando County,FL
F,CN1205500000000,Highlands County,FL
F,CN1205700000000,Hillsborough County,FL
F,CN1205900000000,Holmes County,FL
F,CN1206100000000,Indian River County,FL
F,CN1206300000000,Jackson County,FL
F,CN1206500000000,Jefferson County,FL
F,CN1206700000000,Lafayette County,FL
F,CN1206900000000,Lake County,FL
F,CN1207100000000,Lee County,FL
F,CN1207300000000,Leon County,FL
F,CN1207500000000,Levy County,FL
F,CN1207700000000,Liberty County,FL
F,CN1207900000000,Madison County,FL
F,CN1208100000000,Manatee County,FL
F,CN1208300000000,Marion County,FL
F,CN1208500000000,Martin County,FL
F,CN1208600000000,Miami-Dade County,FL
F,CN1208700000000,Monroe County,FL
F,CN1208900000000,Nassau County,FL
F,CN1209100000000,Okaloosa County,FL
F,CN1209300000000,Okeechobee County,FL
F,CN1209500000000,Orange County,FL
F,CN1209700000000,Osceola County,FL
F,CN1209900000000,Palm Beach County,FL
F,CN1210100000000,Pasco County,FL
F,CN1210300000000,Pinellas County,FL
F,CN1210500000000,Polk County,FL
F,CN1210700000000,Putnam County,FL
F,CN1210900000000,St. Johns County,FL
F,CN1211100000000,St. Lucie County,FL
F,CN1211300000000,Santa Rosa County,FL
F,CN1211500000000,Sarasota County,FL
F,CN1211700000000,Seminole County,FL
F,CN1211900000000,Sumter County,FL
F,CN1212100000000,Suwannee County,FL
F,CN1212300000000,Taylor County,FL
F,CN1212500000000,Union County,FL
F,CN1212700000000,Volusia County,FL
F,CN1212900000000,Wakulla County,FL
F,CN1213100000000,Walton County,FL
F,CN1213300000000,Washington County,FL
F,CN1300100000000,Appling County,GA
F,CN1300300000000,Atkinson County,GA
F,CN1300500000000,Bacon County,GA
F,CN1300700000000,Baker County,GA
F,CN1300900000000,Baldwin County,GA
F,CN1301100000000,Banks County,GA
F,CN1301300000000,Barrow County,GA
F,CN1301500000000,Bartow County,GA
F,CN1301700000000,Ben Hill County,GA
F,CN1301900000000,Berrien County,GA
F,CN1302100000000,Bibb County,GA
F,CN1302300000000,Bleckley County,GA
F,CN1302500000000,Brantley County,GA
F,CN1302700000000,Brooks County,GA
F,CN1302900000000,Bryan County,GA
F,CN1303100000000,Bulloch County,GA
F,CN1303300000000,Burke County,GA
F,CN1303500000000,Butts County,GA
F,CN1303700000000,Calhoun County,GA
F,CN1303900000000,Camden County,GA
F,CN1304300000000,Candler County,GA
F,CN1304500000000,Carroll County,GA
F,CN1304700000000,Catoosa County,GA
F,CN1304900000000,Charlton County,GA
F,CN1305100000000,Chatham County,GA
F,CN1305300000000,Chattahoochee County,GA
F,CN1305500000000,Chattooga County,GA
F,CN1305700000000,Cherokee County,GA
F,CN1305900000000,Clarke County,GA
F,CN1306100000000,Clay County,GA
F,CN1306300000000,Clayton County,GA
F,CN1306500000000,Clinch County,GA
F,CN1306700000000,Cobb County,GA
F,CN1306900000000,Coffee County,GA
F,CN1307100000000,Colquitt County,GA
F,CN1307300000000,Columbia County,GA
F,CN1307500000000,Cook County,GA
F,CN1307700000000,Coweta County,GA
F,CN1307900000000,Crawford County,GA
F,CN1308100000000,Crisp County,GA
F,CN1308300000000,Dade County,GA
F,CN1308500000000,Dawson County,GA
F,CN1308700000000,Decatur County,GA
F,CN1308900000000,DeKalb County,GA
F,CN1309100000000,Dodge County,GA
F,CN1309300000000,Dooly County,GA
F,CN1309500000000,Dougherty County,GA
F,CN1309700000000,Douglas County,GA
F,CN1309900000000,Early County,GA
F,CN1310100000000,Echols County,GA
F,CN1310300000000,Effingham County,GA
F,CN1310500000000,Elbert County,GA
F,CN1310700000000,Emanuel County,GA
F,CN1310900000000,Evans County,GA
F,CN1311100000000,Fannin County,GA
F,CN1311300000000,Fayette County,GA
F,CN1311500000000,Floyd County,GA
F,CN1311700000000,Forsyth County,GA
F,CN1311900000000,Franklin County,GA
F,CN1312100000000,Fulton County,GA
F,CN1312300000000,Gilmer County,GA
F,CN1312500000000,Glascock County,GA
F,CN1312700000000,Glynn County,GA
F,CN1312900000000,Gordon County,GA
F,CN1313100000000,Grady County,GA
F,CN1313300000000,Greene County,GA
F,CN1313500000000,Gwinnett County,GA
F,CN1313700000000,Habersham County,GA
F,CN1313900000000,Hall County,GA
F,CN1314100000000,Hancock County,GA
F,CN1314300000000,Haralson County,GA
F,CN1314500000000,Harris County,GA
F,CN1314700000000,Hart County,GA
F,CN1314900000000,Heard County,GA
F,CN1315100000000,Henry County,GA
F,CN1315300000000,Houston County,GA
F,CN1315500000000,Irwin County,GA
F,CN1315700000000,Jackson County,GA
F,CN1315900000000,Jasper County,GA
F,CN1316100000000,Jeff Davis County,GA
F,CN1316300000000,Jefferson County,GA
F,CN1316500000000,Jenkins County,GA
F,CN1316700000000,Johnson County,GA
F,CN1316900000000,Jones County,GA
F,CN1317100000000,Lamar County,GA
F,CN1317300000000,Lanier County,GA
F,CN1317500000000,Laurens County,GA
F,CN1317700000000,Lee County,GA
F,CN1317900000000,Liberty County,GA
F,CN1318100000000,Lincoln County,GA
F,CN1318300000000,Long County,GA
F,CN1318500000000,Lowndes County,GA
F,CN1318700000000,Lumpkin County,GA
F,CN1318900000000,McDuffie County,GA
F,CN1319100000000,McIntosh County,GA
F,CN1319300000000,Macon County,GA
F,CN1319500000000,Madison County,GA
F,CN1319700000000,Marion County,GA
F,CN1319900000000,Meriwether County,GA
F,CN1320100000000,Miller County,GA
F,CN1320500000000,Mitchell County,GA
F,CN1320700000000,Monroe County,GA
F,CN1320900000000,Montgomery County,GA
F,CN1321100000000,Morgan County,GA
F,CN1321300000000,Murray County,GA
F,CN1321500000000,Muscogee County,GA
F,CN1321700000000,Newton County,GA
F,CN1321900000000,Oconee County,GA
F,CN1322100000000,Oglethorpe County,GA
F,CN1322300000000,Paulding County,GA
F,CN1322500000000,Peach County,GA
F,CN1322700000000,Pickens County,GA
F,CN1322900000000,Pierce County,GA
F,CN1323100000000,Pike County,GA
F,CN1323300000000,Polk County,GA
F,CN1323500000000,Pulaski County,GA
F,CN1323700000000,Putnam County,GA
F,CN1323900000000,Quitman County,GA
F,CN1324100000000,Rabun County,GA
F,CN1324300000000,Randolph County,GA
F,CN1324500000000,Richmond County,GA
F,CN1324700000000,Rockdale County,GA
F,CN1324900000000,Schley County,GA
F,CN1325100000000,Screven County,GA
F,CN1325300000000,Seminole County,GA
F,CN1325500000000,Spalding County,GA
F,CN1325700000000,Stephens County,GA
F,CN1325900000000,Stewart County,GA
F,CN1326100000000,Sumter County,GA
F,CN1326300000000,Talbot County,GA
F,CN1326500000000,Taliaferro County,GA
F,CN1326700000000,Tattnall County,GA
F,CN1326900000000,Taylor County,GA
F,CN1327100000000,Telfair County,GA
F,CN1327300000000,Terrell County,GA
F,CN1327500000000,Thomas County,GA
F,CN1327700000000,Tift County,GA
F,CN1327900000000,Toombs County,GA
F,CN1328100000000,Towns County,GA
F,CN1328300000000,Treutlen County,GA
F,CN1328500000000,Troup County,GA
F,CN1328700000000,Turner County,GA
F,CN1328900000000,Twiggs County,GA
F,CN1329100000000,Union County,GA
F,CN1329300000000,Upson County,GA
F,CN1329500000000,Walker County,GA
F,CN1329700000000,Walton County,GA
F,CN1329900000000,Ware County,GA
F,CN1330100000000,Warren County,GA
F,CN1330300000000,Washington County,GA
F,CN1330500000000,Wayne County,GA
F,CN1330700000000,Webster County,GA
F,CN1330900000000,Wheeler County,GA
F,CN1331100000000,White County,GA
F,CN1331300000000,Whitfield County,GA
F,CN1331500000000,Wilcox County,GA
F,CN1331700000000,Wilkes County,GA
F,CN1331900000000,Wilkinson County,GA
F,CN1332100000000,Worth County,GA
F,CN1500100000000,Hawaii County,HI
F,CN1500300000000,Honolulu County/city,HI
F,CN1500700000000,Kauai County,HI
F,CN1500900000000,Maui County,HI
F,CN1600100000000,Ada County,ID
F,CN1600300000000,Adams County,ID
F,CN1600500000000,Bannock County,ID
F,CN1600700000000,Bear Lake County,ID
F,CN1600900000000,Benewah County,ID
F,CN1601100000000,Bingham County,ID
F,CN1601300000000,Blaine County,ID
F,CN1601500000000,Boise County,ID
F,CN1601700000000,Bonner County,ID
F,CN1601900000000,Bonneville County,ID
F,CN1602100000000,Boundary County,ID
F,CN1602300000000,Butte County,ID
F,CN1602500000000,Camas County,ID
F,CN1602700000000,Canyon County,ID
F,CN1602900000000,Caribou County,ID
F,CN1603100000000,Cassia County,ID
F,CN1603300000000,Clark County,ID
F,CN1603500000000,Clearwater County,ID
F,CN1603700000000,Custer County,ID
F,CN1603900000000,Elmore County,ID
F,CN1604100000000,Franklin County,ID
F,CN1604300000000,Fremont County,ID
F,CN1604500000000,Gem County,ID
F,CN1604700000000,Gooding County,ID
F,CN1604900000000,Idaho County,ID
F,CN1605100000000,Jefferson County,ID
F,CN1605300000000,Jerome County,ID
F,CN1605500000000,Kootenai County,ID
F,CN1605700000000,Latah County,ID
F,CN1605900000000,Lemhi County,ID
F,CN1606100000000,Lewis County,ID
F,CN1606300000000,Lincoln County,ID
F,CN1606500000000,Madison County,ID
F,CN1606700000000,Minidoka County,ID
F,CN1606900000000,Nez Perce County,ID
F,CN1607100000000,Oneida County,ID
F,CN1607300000000,Owyhee County,ID
F,CN1607500000000,Payette County,ID
F,CN1607700000000,Power County,ID
F,CN1607900000000,Shoshone County,ID
F,CN1608100000000,Teton County,ID
F,CN1608300000000,Twin Falls County,ID
F,CN1608500000000,Valley County,ID
F,CN1608700000000,Washington County,ID
F,CN1700100000000,Adams County,IL
F,CN1700300000000,Alexander County,IL
F,CN1700500000000,Bond County,IL
F,CN1700700000000,Boone County,IL
F,CN1700900000000,Brown County,IL
F,CN1701100000000,Bureau County,IL
F,CN1701300000000,Calhoun County,IL
F,CN1701500000000,Carroll County,IL
F,CN1701700000000,Cass County,IL
F,CN1701900000000,Champaign County,IL
F,CN1702100000000,Christian County,IL
F,CN1702300000000,Clark County,IL
F,CN1702500000000,Clay County,IL
F,CN1702700000000,Clinton County,IL
F,CN1702900000000,Coles County,IL
F,CN1703100000000,Cook County,IL
F,CN1703300000000,Crawford County,IL
F,CN1703500000000,Cumberland County,IL
F,CN1703700000000,DeKalb County,IL
F,CN1703900000000,De Witt County,IL
F,CN1704100000000,Douglas County,IL
F,CN1704300000000,DuPage County,IL
F,CN1704500000000,Edgar County,IL
F,CN1704700000000,Edwards County,IL
F,CN1704900000000,Effingham County,IL
F,CN1705100000000,Fayette County,IL
F,CN1705300000000,Ford County,IL
F,CN1705500000000,Franklin County,IL
F,CN1705700000000,Fulton County,IL
F,CN1705900000000,Gallatin County,IL
F,CN1706100000000,Greene County,IL
F,CN1706300000000,Grundy County,IL
F,CN1706500000000,Hamilton County,IL
F,CN1706700000000,Hancock County,IL
F,CN1706900000000,Hardin County,IL
F,CN1707100000000,Henderson County,IL
F,CN1707300000000,Henry County,IL
F,CN1707500000000,Iroquois County,IL
F,CN1707700000000,Jackson County,IL
F,CN1707900000000,Jasper County,IL
F,CN1708100000000,Jefferson County,IL
F,CN1708300000000,Jersey County,IL
F,CN1708500000000,Jo Daviess County,IL
F,CN1708700000000,Johnson County,IL
F,CN1708900000000,Kane County,IL
F,CN1709100000000,Kankakee County,IL
F,CN1709300000000,Kendall County,IL
F,CN1709500000000,Knox County,IL
F,CN1709700000000,Lake County,IL
F,CN1709900000000,LaSalle County,IL
F,CN1710100000000,Lawrence County,IL
F,CN1710300000000,Lee County,IL
F,CN1710500000000,Livingston County,IL
F,CN1710700000000,Logan County,IL
F,CN1710900000000,McDonough County,IL
F,CN1711100000000,McHenry County,IL
F,CN1711300000000,McLean County,IL
F,CN1711500000000,Macon County,IL
F,CN1711700000000,Macoupin County,IL
F,CN1711900000000,Madison County,IL
F,CN1712100000000,Marion County,IL
F,CN1712300000000,Marshall County,IL
F,CN1712500000000,Mason County,IL
F,CN1712700000000,Massac County,IL
F,CN1712900000000,Menard County,IL
F,CN1713100000000,Mercer County,IL
F,CN1713300000000,Monroe County,IL
F,CN1713500000000,Montgomery County,IL
F,CN1713700000000,Morgan County,IL
F,CN1713900000000,Moultrie County,IL
F,CN1714100000000,Ogle County,IL
F,CN1714300000000,Peoria County,IL
F,CN1714500000000,Perry County,IL
F,CN1714700000000,Piatt County,IL
