area_type_code,area_code,area_text,state
A,0100000,Alabama,AL
A,0200000,Alaska,AK
A,0400000,Arizona,AZ
A,0500000,Arkansas,AR
A,0600000,California,CA
A,0800000,Colorado,CO
A,0900000,Connecticut,CT
A,1000000,Delaware,DE
A,1100000,District of Columbia,DC
A,1200000,Florida,FL
A,1300000,Georgia,GA
A,1500000,Hawaii,HI
A,1600000,Idaho,ID
A,1700000,Illinois,IL
A,1800000,Indiana,IN
A,1900000,Iowa,IA
A,2000000,Kansas,KS
A,2100000,Kentucky,KY
A,2200000,Louisiana,LA
A,2300000,Maine,ME
A,2400000,Maryland,MD
A,2500000,Massachusetts,MA
A,2600000,Michigan,MI
A,2700000,Minnesota,MN
A,2800000,Mississippi,MS
A,2900000,Missouri,MO
A,3000000,Montana,MT
A,3100000,Nebraska,NE
A,3200000,Nevada,NV
A,3300000,New Hampshire,NH
A,3400000,New Jersey,NJ
A,3500000,New Mexico,NM
A,3600000,New York,NY
A,3700000,North Carolina,NC
A,3800000,North Dakota,ND
A,3900000,Ohio,OH
A,4000000,Oklahoma,OK
A,4100000,Oregon,OR
A,4200000,Pennsylvania,PA
A,4400000,Rhode Island,RI
A,4500000,South Carolina,SC
A,4600000,South Dakota,SD
A,4700000,Tennessee,TN
A,4800000,Texas,TX
A,4900000,Utah,UT
A,5000000,Vermont,VT
A,5100000,Virginia,VA
A,5300000,Washington,WA
A,5400000,West Virginia,WV
A,5500000,Wisconsin,WI
A,5600000,Wyoming,WY
