sector_code,sector_name
00000000,Total Nonfarm
05000000,Total Private
06000000,Goods Producing
07000000,Service-Providing
08000000,Private Service Providing
10000000,Mining and Logging
15000000,Mining Logging and Construction
20000000,Construction
30000000,Manufacturing
31000000,Durable Goods
32000000,Non-Durable Goods
40000000,Trade Transportation and Utilities
41000000,Wholesale Trade
42000000,Retail Trade
43000000,Transportation and Utilities
50000000,Information
55000000,Financial Activities
60000000,Professional and Business Services
65000000,Education and Health Services
70000000,Leisure and Hospitality
80000000,Other Services
90000000,Government
